CPE,hora,consumo_real,veredicto,data
C18SC002011N,1,0.0,normal,2026-05-01
C18SC002011N,2,0.0,normal,2026-05-01
C18SC002011N,3,0.0,normal,2026-05-01
C18SC002011N,4,0.0,normal,2026-05-01
C18SC002011N,5,0.0,normal,2026-05-01
C18SC002011N,6,0.0,normal,2026-05-01
C18SC002011N,7,0.0,normal,2026-05-01
C18SC002011N,8,0.0,normal,2026-05-01
C18SC002011N,9,0.058,normal,2026-05-01
C18SC002011N,10,0.089,normal,2026-05-01
C18SC002011N,11,0.05,normal,2026-05-01
C18SC002011N,12,0.032,normal,2026-05-01
C18SC002011N,13,0.063,normal,2026-05-01
C18SC002011N,14,0.073,desvio,2026-05-01
C18SC002011N,15,0.088,normal,2026-05-01
C18SC002011N,16,0.029,normal,2026-05-01
C18SC002011N,17,0.039,normal,2026-05-01
C18SC002011N,18,0.044,normal,2026-05-01
C18SC002011N,19,0.044,normal,2026-05-01
C18SC002011N,20,0.07,normal,2026-05-01
C18SC002011N,21,0.058,normal,2026-05-01
C18SC002011N,22,0.125,normal,2026-05-01
C18SC002011N,23,0.016,normal,2026-05-01
C18SC002021,0,0.0,normal,2026-05-01
C18SC002021,1,0.0,normal,2026-05-01
C18SC002021,2,0.0,normal,2026-05-01
C18SC002021,3,0.0,normal,2026-05-01
C18SC002021,4,0.0,normal,2026-05-01
C18SC002021,5,0.0,normal,2026-05-01
C18SC002021,6,0.0,normal,2026-05-01
C18SC002021,7,0.0,normal,2026-05-01
C18SC002021,8,0.0,normal,2026-05-01
C18SC002021,9,0.0,normal,2026-05-01
C18SC002021,10,0.0,normal,2026-05-01
C18SC002021,11,0.0,normal,2026-05-01
C18SC002021,12,0.0,normal,2026-05-01
C18SC002021,13,0.0,normal,2026-05-01
C18SC002021,14,0.0,normal,2026-05-01
C18SC002021,15,0.0,normal,2026-05-01
C18SC002021,16,0.0,normal,2026-05-01
C18SC002021,17,0.0,normal,2026-05-01
C18SC002021,18,0.0,normal,2026-05-01
C18SC002021,19,0.0,normal,2026-05-01
C18SC002021,20,0.0,normal,2026-05-01
C18SC002021,21,0.0,normal,2026-05-01
C18SC002021,22,0.0,normal,2026-05-01
C18SC002021,23,0.0,normal,2026-05-01
C18SC002022,0,0.0,normal,2026-05-01
C18SC002022,1,0.0,normal,2026-05-01
C18SC002022,2,0.0,normal,2026-05-01
C18SC002022,3,0.0,normal,2026-05-01
C18SC002022,4,0.0,normal,2026-05-01
C18SC002022,5,0.0,normal,2026-05-01
C18SC002022,6,0.0,normal,2026-05-01
C18SC002022,7,0.0,normal,2026-05-01
C18SC002022,8,0.0,normal,2026-05-01
C18SC002022,9,0.0,normal,2026-05-01
C18SC002022,10,0.0,normal,2026-05-01
C18SC002022,11,0.0,normal,2026-05-01
C18SC002022,12,0.0,normal,2026-05-01
C18SC002022,13,0.0,normal,2026-05-01
C18SC002022,14,0.0,normal,2026-05-01
C18SC002022,15,0.0,normal,2026-05-01
C18SC002022,16,0.0,normal,2026-05-01
C18SC002022,17,0.0,normal,2026-05-01
C18SC002022,18,0.0,normal,2026-05-01
C18SC002022,19,0.0,normal,2026-05-01
C18SC002022,20,0.0,normal,2026-05-01
C18SC002022,21,0.0,normal,2026-05-01
C18SC002022,22,0.0,normal,2026-05-01
C18SC002022,23,0.0,normal,2026-05-01
C18SC002034,0,0.0,normal,2026-05-01
C18SC002034,1,0.0,normal,2026-05-01
C18SC002034,3,0.0,normal,2026-05-01
C18SC002034,4,0.0,normal,2026-05-01
C18SC002034,5,0.0,normal,2026-05-01
C18SC002034,6,0.0,normal,2026-05-01
C18SC002034,7,0.0,normal,2026-05-01
C18SC002034,8,0.0,normal,2026-05-01
C18SC002034,9,0.0,normal,2026-05-01
C18SC002034,11,0.0,normal,2026-05-01
C18SC002034,12,0.0,normal,2026-05-01
C18SC002034,13,0.0,normal,2026-05-01
C18SC002034,14,0.0,normal,2026-05-01
C18SC002034,15,0.0,normal,2026-05-01
C18SC002034,16,0.0,normal,2026-05-01
C18SC002034,17,0.0,normal,2026-05-01
C18SC002034,18,0.0,normal,2026-05-01
C18SC002034,19,0.0,normal,2026-05-01
C18SC002034,20,0.0,normal,2026-05-01
C18SC002034,21,0.0,normal,2026-05-01
C18SC002034,22,0.0,normal,2026-05-01
C18SC002034,23,0.0,normal,2026-05-01
C18SC002050U,4,0.075,normal,2026-05-01
C18SC002050U,5,0.001,normal,2026-05-01
C18SC002050U,6,0.034,normal,2026-05-01
C18SC002050U,7,0.013,normal,2026-05-01
C18SC002050U,8,0.019,normal,2026-05-01
C18SC002050U,9,0.032,normal,2026-05-01
C18SC002050U,10,0.17,normal,2026-05-01
C18SC002050U,11,0.142,normal,2026-05-01
C18SC002050U,20,1.011,normal,2026-05-01
C18SC002050U,21,0.103,normal,2026-05-01
C18SC002050U,22,0.048,normal,2026-05-01
C18SC002050U,23,0.156,normal,2026-05-01
C18SC002069,0,0.925,normal,2026-05-01
C18SC002069,1,0.929,normal,2026-05-01
C18SC002069,2,0.936,normal,2026-05-01
C18SC002069,3,0.937,normal,2026-05-01
C18SC002069,4,0.938,normal,2026-05-01
C18SC002069,5,0.936,normal,2026-05-01
C18SC002069,6,0.935,normal,2026-05-01
C18SC002069,7,0.932,normal,2026-05-01
C18SC002069,8,0.927,normal,2026-05-01
C18SC002069,9,0.912,normal,2026-05-01
C18SC002069,10,0.912,normal,2026-05-01
C18SC002069,11,0.911,normal,2026-05-01
C18SC002069,12,0.906,normal,2026-05-01
C18SC002069,13,0.907,normal,2026-05-01
C18SC002069,14,0.914,normal,2026-05-01
C18SC002069,15,0.914,normal,2026-05-01
C18SC002069,16,0.921,normal,2026-05-01
C18SC002069,17,0.921,normal,2026-05-01
C18SC002069,18,0.917,normal,2026-05-01
C18SC002069,19,0.918,normal,2026-05-01
C18SC002069,20,0.915,normal,2026-05-01
C18SC002069,21,0.913,normal,2026-05-01
C18SC002069,22,0.924,normal,2026-05-01
C18SC002069,23,0.928,normal,2026-05-01
C18SC002074,0,0.0,normal,2026-05-01
C18SC002074,1,0.0,normal,2026-05-01
C18SC002074,2,0.0,normal,2026-05-01
